Twitter ID,Lastname,Firstname,Fullname,Gender,Party,Constituency,Elected,OnTwitter,day_follower_change,followers,following,last_tweet,overall_follower_change,screen_name,tweets
507910843.0,Haughey,Sean,Sean Haughey,Male,ff,Dublin Bay North,1,1,11.0,1589.0,437.0,1 day ago,206.0,sean_haughey,2160.0
238613047.0,O'Leary,Julie,Julie O'Leary,Female,fg,Cork North Central,0,1,-2.0,799.0,888.0,1 day ago,132.0,julieolry,3246.0
20586381.0,Cannon,Ciaran,Ciaran Cannon,Male,fg,Galway East,1,1,0.0,6061.0,2609.0,1 day ago,104.0,ciarancannon,13132.0
219454029.0,O'Brien,Johnathan,Jonathan O'Brien,Male,sf,Cork North Central,1,1,12.0,3943.0,1000.0,2 days ago,434.0,jobrien_sf,3305.0
19735329.0,Donohoe,Paschal,Paschal Donohoe,Male,fg,Dublin Central,1,1,5.0,10484.0,1817.0,1 day ago,310.0,paschald,7567.0
0.0,Quigley,Adam,Kiaran Adam Quigley,Male,ind,Dublin South West,0,0,,,,,,,
0.0,Leahy,John,John Leahy,Male,renua,Offaly,0,0,,,,,,,
20777397.0,Doherty,Gary,Gary Doherty,Male,sf,Donegal,0,1,0.0,690.0,601.0,3 days ago,103.0,garydoc,1412.0
201067717.0,Hayde,Lorraine,Lorraine Hayde,Female,ind,Kildare South,0,1,0.0,113.0,228.0,1 month ago,8.0,lorhayde,514.0
29110219.0,McAuliffe,Paul,Paul McAuliffe,Male,ff,Dublin North West,0,1,0.0,1684.0,1638.0,2 days ago,94.0,paulmcauliffe,3829.0
524423189.0,Kelleher,Billy,Billy Kelleher,Male,ff,Cork North Central,1,1,4.0,3006.0,227.0,5 days ago,213.0,billykellehertd,1065.0
0.0,Power,Mailo,Mailo Power,Female,renua,Waterford,0,0,,,,,,,
0.0,Murphy,Eugene,Eugene Murphy,Male,ff,Roscommon Galway,1,0,,,,,,,
22619288.0,O'Tuathail,Niall,Niall O'Tuathail,Male,sd,Wicklow,0,1,4.0,1932.0,1720.0,2 days ago,0.0,niallotuathail,3429.0
319686489.0,Browne,James,james Browne,Male,ff,Wexford,1,1,3.0,149.0,71.0,2 days ago,59.0,jamesforwexford,45.0
18492194.0,Lawless,James,James Lawless,Male,ff,Kildare North,1,1,3.0,2478.0,2208.0,1 day ago,129.0,lawlessj,16452.0
327886319.0,Kehoe,Paul,Paul Kehoe,Male,fg,Wexford,1,1,0.0,3982.0,1690.0,5 days ago,67.0,campaign4kehoe,1951.0
190987689.0,Murphy,Catherine,Catherine Murphy,Female,sd,Kildare North,1,1,27.0,13245.0,1421.0,2 days ago,0.0,cathmurphytd,6485.0
233919401.0,O'Mahony,John,John O'Mahony,Male,fg,Galway West,0,1,2.0,3681.0,344.0,5 days ago,144.0,johnomahonytd,1148.0
3433011335.0,Farrell,Anne,Anne Farrell,Female,renua,Roscommon Galway,0,1,0.0,322.0,441.0,1 day ago,14.0,annerenua,2995.0
0.0,Durkin,Mike,Mike Durkin,Male,ff,Cavan Monaghan,0,0,,,,,,,
77989626.0,Lynch,Kathleen,Kathleen Lynch,Female,lab,Cork North Central,0,1,1.0,6967.0,1129.0,5 days ago,218.0,kathleenlynchtd,436.0
104578228.0,Stanton,David,David Stanton,Male,fg,Cork East,1,1,3.0,2530.0,910.0,1 day ago,62.0,davidstantontd,695.0
0.0,Martin,Barry,Barry Martin,Male,aaa-pbp,Dublin Fingal,0,0,,,,,,,
114007914.0,Martin,Micheal,Micheal Martin,Male,ff,Cork South Central,1,1,18.0,17439.0,1851.0,5 days ago,1690.0,michealmartintd,947.0
3123373653.0,O'Reilly,Louise,Louise O'Reilly,Female,sf,Dublin Fingal,1,1,4.0,1048.0,295.0,1 day ago,293.0,loreillysf,2950.0
0.0,Sheehan,Margaret,Margaret Sheehan,Female,gp,Mayo,0,0,,,,,,,
42974146.0,Gilroy,Ben,Ben Gilroy,Male,ddi,Meath East,0,1,1.0,1560.0,327.0,1 month ago,38.0,bengilroy,1141.0
227431311.0,O'Muiri,Naoise,Naoise O'Muiri,Male,fg,Dublin Bay North,0,1,2.0,2107.0,1315.0,2 days ago,55.0,naoiseomuiri,2249.0
4273651635.0,Smollen,Ken,Ken Smollen,Male,ind,Offaly,0,1,0.0,38.0,56.0,3 months ago,13.0,ken_smollen,9.0
4433446522.0,Homits,Alex,Alex Homits,Male,ind,Cork North West,0,1,0.0,41.0,33.0,2 days ago,17.0,alexhomits,53.0
2399383987.0,Fitzgerald,Shane,Shane Fitzgerald,Male,renua,Kildare North,0,1,0.0,14.0,1.0,2 years ago,1.0,fitznumber1,3.0
237376611.0,Bruton,Richard,Richard Bruton,Male,fg,Dublin Bay North,1,1,5.0,7671.0,160.0,3 days ago,318.0,richardbrutontd,1822.0
118999126.0,Coveney,Simon,Simon Coveney,Male,fg,Cork South Central,1,1,7.0,21845.0,600.0,3 days ago,510.0,simoncoveney,3631.0
0.0,Timmins,Billy,Billy Timmins,Male,renua,Wicklow,0,0,,,,,,,
0.0,O'Donnell,Grace,Grace O'Donnell,Female,fg,Kerry,0,0,,,,,,,
0.0,Sinclair,Stephen,Stephen Sinclair,Male,ddi,Dublin South West,0,0,,,,,,,
322638688.0,Moran,Mary,Mary Moran,Female,lab,Louth,0,1,0.0,1870.0,1132.0,1 day ago,47.0,marymmoran,8207.0
0.0,Buckley,Pat,Pat Buckley,Male,sf,Cork East,1,0,,,,,,,
135514272.0,Kenny,Enda,Enda Kenny,Male,fg,Mayo,1,1,20.0,44534.0,560.0,5 days ago,2189.0,endakennytd,431.0
90059455.0,Hannigan,Dominic,Dominic Hannigan,Male,lab,Meath East,0,1,0.0,4415.0,1051.0,4 days ago,80.0,domhannigan,2080.0
3332899594.0,Cassells,Shane,Shane Cassells,Male,ff,Meath West,1,1,5.0,688.0,804.0,3 days ago,198.0,shanecassells,455.0
77995220.0,Costello,Joe,Joe Costello,Male,lab,Dublin Central,0,1,0.0,5561.0,2030.0,1 day ago,156.0,joecostellotd,3628.0
1104684048.0,Deasy,John,John Deasy,Male,fg,Waterford,1,1,-1.0,1108.0,848.0,3 weeks ago,101.0,4_johndeasytd,170.0
240624439.0,Shatter,Alan,Alan Shatter,Male,fg,Dublin Rathdown,0,1,0.0,3744.0,36.0,5 days ago,207.0,alanshattertd,193.0
2479549147.0,Nolan,Lorna,Lorna Nolan,Female,ind,Dublin West,0,1,0.0,234.0,414.0,5 days ago,4.0,lornaforireland,444.0
254127396.0,Shiels,Dessie,Dessie Shiels,Male,ind,Donegal,0,1,0.0,125.0,81.0,1 week ago,66.0,dessieshiels,22.0
168669206.0,Coonan,Noel,Noel Coonan,Male,fg,Tipperary,0,1,0.0,2007.0,143.0,5 days ago,51.0,noelcoonantd,151.0
77184360.0,Burton,Joan,Joan Burton,Female,lab,Dublin West,1,1,11.0,15980.0,572.0,5 days ago,1325.0,joanburton,947.0
0.0,Hennessy,Miriam,Miriam Hennessy,Female,gp,Roscommon Galway,0,0,,,,,,,
347841423.0,Morgan,James,James Morgan,Male,ind,Longford Westmeath,0,1,0.0,375.0,706.0,7 days ago,49.0,jamesmorgan40,156.0
0.0,Carthy,Ger,Ger Carthy,Male,ind,Wexford,0,0,,,,,,,
135877820.0,Carey,Joe,Joe Carey,Male,fg,Clare,1,1,1.0,3495.0,1613.0,2 days ago,93.0,joecareytd,1348.0
116560657.0,Smyth,Ossian,Ossian Smyth,Male,gp,Dun Laoghaire,0,1,3.0,1537.0,2523.0,1 day ago,182.0,smytho,3405.0
2207936117.0,Murphy O'Mahony,Margaret,Margaret Murphy O' Mahony,Female,ff,Cork South West,1,1,2.0,1005.0,1578.0,3 days ago,130.0,mgtmurphymahony,285.0
180885830.0,Hunt,Carol,Carol Hunt,Female,ind,Dun Laoghaire,0,1,1.0,8113.0,2680.0,1 day ago,299.0,carolmhunt,27592.0
196112862.0,Trevaskis Doyle,Anna,Anna Trevaskis Doyle,Female,aaa-pbp,Wicklow,0,1,0.0,405.0,1019.0,1 day ago,16.0,annatrevaskisdo,3942.0
519212054.0,Corcoran-Kennedy,Marcella,Marcella Corcoran Kennedy,Female,fg,Offaly,1,1,1.0,1340.0,488.0,3 days ago,72.0,marcellack,4354.0
21499082.0,Dearey,Mark,Mark Dearey,Male,gp,Louth,0,1,-1.0,1942.0,759.0,2 days ago,112.0,markdearey,1638.0
0.0,O'Rourke,Paddy,Paddy O'Rourke,Male,ff,Sligo Leitrim,0,0,,,,,,,
37294114.0,Hogan,Julie,Julie Hogan,Female,fg,Wexford,0,1,0.0,261.0,332.0,3 days ago,11.0,julieahogan,3079.0
0.0,Ryan,Fiona,Fiona Ryan,Female,aaa-pbp,Cork South Central,0,0,,,,,,,
212555476.0,Quinlivan,Maurice,Maurice Quinlivan,Male,sf,Limerick City,1,1,3.0,3100.0,576.0,2 days ago,207.0,cllrquinlivan,8816.0
2387971004.0,Hoade,Mary,Mary Hoade,Female,ff,Galway West,0,1,1.0,162.0,137.0,7 days ago,47.0,cllrmaryhoade,74.0
225391077.0,Smyth,Carrie,Carrie Smyth,Female,lab,Dun Laoghaire,0,1,2.0,958.0,1764.0,5 days ago,100.0,carrie_smyth,1016.0
330959373.0,Merriman,Ashling,Ashling Merriman,Female,aaa-pbp,Kildare North,0,1,0.0,147.0,247.0,1 day ago,58.0,ashashling,174.0
92521829.0,Mitchell-OConnor,Mary,Mary Mitchell O'Connor,Female,fg,Dun Laoghaire,1,1,4.0,5707.0,2752.0,1 day ago,157.0,mitchelloconnor,8989.0
0.0,Kilbride,Frank,Frank Kilbride,Male,ind,Longford Westmeath,0,0,,,,,,,
66682393.0,Cullinane,David,David Cullinane,Male,sf,Waterford,1,1,4.0,3772.0,3437.0,1 week ago,185.0,davidcullinane,4995.0
4742298017.0,Coyne,Liam,Liam Coyne,Male,sd,Dublin South Central,0,1,1.0,377.0,126.0,2 days ago,150.0,liamcoynes,709.0
0.0,Fleming,Tom,Tom Fleming,Male,ind,Kerry,0,0,,,,,,,
219007038.0,Reilly,Kathryn,Kathryn Reilly,Female,sf,Cavan Monaghan,0,1,0.0,2995.0,2100.0,2 days ago,132.0,kathrynreilly,3268.0
3959462177.0,Kelly,Leonard,Leonard Kelly,Male,sd,Wexford,0,1,-1.0,432.0,415.0,2 days ago,125.0,leonardkellyge,663.0
14618896.0,Moran,Oliver,Oliver Moran,Male,gp,Cork North Central,0,1,1.0,553.0,495.0,1 day ago,149.0,oliver_moran,2646.0
246917372.0,Curry,Nicola,Nicola Curry,Female,ind,Dublin Rathdown,0,1,1.0,363.0,371.0,2 weeks ago,4.0,nicola_curry,1743.0
38000023.0,McEntee,Helen,Helen McEntee,Female,fg,Meath East,1,1,2.0,3897.0,940.0,2 days ago,191.0,hmcentee,1295.0
2227385384.0,Rabbitte,Anne,Anne Rabbitte,Female,ff,Galway East,1,1,7.0,1303.0,2388.0,2 days ago,221.0,annerabbitte,4159.0
0.0,Smyth,Niamh,Niamh Smyth,Female,ff,Cavan Monaghan,1,0,,,,,,,
39019643.0,Higgins,Lorraine,Lorraine Higgins,Female,lab,Galway East,0,1,4.0,4497.0,1332.0,2 days ago,171.0,lorhiggins,8919.0
2823032296.0,Bailey,Maria,Maria Bailey,Female,fg,Dun Laoghaire,1,1,2.0,793.0,750.0,1 day ago,171.0,mariabaileyfg,1371.0
243632271.0,MacSharry,Marc,Marc MacSharry,Male,ff,Sligo Leitrim,1,1,2.0,1363.0,471.0,1 day ago,96.0,marcmacsharry,701.0
274437336.0,McLoughlin Healy,Fiona,Fiona McLoughlin Healy,Female,fg,Kildare South,0,1,0.0,1721.0,1727.0,1 day ago,51.0,fionamacky,6359.0
236377912.0,Boyd-Barrett,Richard,Richard Boyd Barrett,Male,aaa-pbp,Dun Laoghaire,1,1,18.0,14290.0,1822.0,1 day ago,1742.0,rboydbarrett,3097.0
2352318326.0,Carney Boud,Cathleen,Carney Boud,Female,sf,Dublin North West,0,1,0.0,575.0,243.0,2 days ago,132.0,catcarneyboud,539.0
39347912.0,Cooney,Donna,Donal Cooney,Female,gp,Dublin Bay North,0,1,0.0,1036.0,2015.0,2 days ago,131.0,donna_cooney1,1982.0
2227119464.0,McMenamin,Seamus,Seamus McMenamin,Male,gp,Meath West,0,1,-1.0,610.0,834.0,3 days ago,70.0,seamusmcmenamin,2520.0
361335767.0,Collins,Joan,Joan Collins,Female,ind,Dublin South Central,1,1,8.0,4864.0,646.0,2 days ago,449.0,joancollinstd,2887.0
116547221.0,Halligan,John,John Halligan,Male,ind,Waterford,1,1,4.0,2325.0,346.0,1 day ago,153.0,johnhalligan,2355.0
148872468.0,McDonald,Mary Lou,Mary Lou McDonald,Female,sf,Dublin Central,1,1,18.0,26976.0,944.0,3 days ago,2146.0,maryloumcdonald,5227.0
171843834.0,Walsh,Noel,Noel Walsh,Male,ind,Carlow-Kilkenny,0,1,0.0,46.0,8.0,4 years ago,9.0,noelgwalsh,46.0
22924705.0,D'Arcy,Michael,Michael D'Arcy,Male,fg,Wexford,1,1,1.0,808.0,238.0,1 day ago,54.0,michaeldarcy,2348.0
67268150.0,Calleary,Dara,Dara Calleary,Male,ff,Mayo,1,1,7.0,6002.0,2265.0,1 day ago,255.0,daracalleary,5095.0
21117425.0,Harris,Simon,Simon Harris,Male,fg,Wicklow,1,1,3.0,10086.0,2150.0,2 days ago,360.0,simonharristd,7434.0
2289556405.0,Conroy,Caroline,Caroline Conroy,Female,gp,Dublin North West,0,1,-1.0,262.0,168.0,1 day ago,93.0,caroline1conroy,493.0
0.0,Stagg,Emmet,Emmet Stagg,Male,lab,Kildare North,0,0,,,,,,,
249347954.0,O'Sullivan,Maureen,Maureen O'Sullivan,Female,ind,Dublin Central,1,1,13.0,4217.0,152.0,1 day ago,312.0,mosullivantd,2369.0
2914205799.0,Fitzmaurice,Michael,Michael Fitzmaurice,Male,ind,Roscommon Galway,1,1,1.0,801.0,1102.0,3 days ago,120.0,michaelfitzmau1,184.0
249114962.0,Jackson,Donal,Donal Jackson,Male,ind,Longford Westmeath,0,1,0.0,11.0,0.0,5 years ago,2.0,donaljacksonirl,1.0
240317445.0,Hogan,Paul,Paul Hogan,Male,sf,Longford Westmeath,0,1,3.0,187.0,46.0,5 years ago,12.0,cllrpaulhogansf,43.0
0.0,Storey-Cosgrave,Alexander,Alexander Storey-Cosgrave,Male,gp,Limerick County,0,0,,,,,,,
